"","1","1","1"
"12246",2,0,0
"12705",1,0,0
"13276",2,0,2
"15578",1,0,0
"15625",1,0,0
"16910",2,0,0
"17030",1,0,0
"17653",1,0,0
"17882",1,0,0
"18027",1,0,0
"18645",1,1,0
"18975",1,0,0
"19165",1,0,0
"19643",1,0,0
"19738",1,0,0
"19744",1,0,0
"19880",1,0,0
"20078",1,0,0
"20211",2,0,0
"20441",2,0,0
"20459",2,1,0
"20539",1,0,0
"20540",2,0,0
"20636",2,0,0
"20666",1,0,0
"20695",2,0,0
"20696",1,0,0
"20732",2,0,0
"20776",1,0,0
"20813",1,0,0
"20860",1,0,0
"20893",1,0,0
"20908",1,1,0
"20912",1,0,0
"20939",2,0,0
"20978",1,0,0
"21052",1,0,0
"21398",1,0,0
"21434",1,0,0
"21443",2,0,0
"21469",1,0,0
"21509",2,0,0
"21574",1,0,1
"21588",2,0,0
"21617",1,0,0
"21708",1,0,0
"21795",2,0,0
"21802",1,0,0
"21809",1,0,0
"21832",1,1,0
"21893",1,0,0
"21911",1,0,0
"21956",1,0,1
"22013",2,0,0
"22028",1,0,0
"22053",1,0,0
"22065",1,0,0
"22076",1,0,0
"22128",2,0,0
"22156",1,0,0
"22256",1,0,0
"22274",2,0,0
"22420",2,0,1
"22484",1,1,0
"22663",1,0,0
"22672",2,0,0
"22688",2,2,0
"22692",1,0,0
"22793",1,0,0
"22805",1,0,0
"22808",2,0,0
"22815",1,0,0
"22897",1,0,0
"22902",2,0,0
"23010",1,0,0
"23029",1,0,0
"16084",0,1,0
"16276",0,1,0
"16343",0,1,0
"16452",0,1,0
"16581",0,1,0
"17343",0,1,0
"18604",0,1,0
"18871",0,1,0
"19200",0,1,0
"19645",0,1,0
"19845",0,1,0
"20006",0,1,0
"20179",0,1,0
"20548",0,1,0
"20616",0,1,0
"20646",0,1,0
"20648",0,1,0
"20741",0,1,0
"20789",0,1,1
"20894",0,1,0
"20922",0,1,0
"20959",0,1,0
"20974",0,1,0
"21191",0,1,0
"21397",0,1,0
"21505",0,1,0
"21523",0,1,0
"21738",0,1,0
"21826",0,1,0
"21858",0,1,0
"21877",0,1,0
"21927",0,1,0
"22003",0,1,0
"22054",0,1,0
"22161",0,1,0
"22237",0,1,0
"22269",0,1,0
"22329",0,1,0
"22435",0,1,1
"22438",0,1,0
"22465",0,1,0
"22703",0,1,0
"22733",0,1,0
"22855",0,1,1
"22883",0,1,0
"23023",0,1,0
"23024",0,1,0
"11307",0,2,0
"15871",0,2,2
"17573",0,2,0
"18766",0,2,0
"19771",0,2,0
"20161",0,2,2
"20962",0,2,0
"21595",0,2,0
"21684",0,2,0
"21840",0,2,0
"22072",0,2,0
"22348",0,2,0
"22542",0,2,0
"22621",0,2,0
"22709",0,2,0
"22891",0,2,0
"22941",0,2,0
"11433",0,0,1
"12655",0,0,1
"13778",0,0,1
"14485",0,0,1
"15795",0,0,1
"16305",0,0,1
"16680",0,0,1
"16718",0,0,1
"16949",0,0,1
"17501",0,0,1
"17664",0,0,1
"18103",0,0,1
"18739",0,0,1
"18880",0,0,1
"18939",0,0,1
"18965",0,0,1
"19063",0,0,1
"19322",0,0,1
"19829",0,0,1
"19963",0,0,1
"20154",0,0,1
"20235",0,0,1
"20463",0,0,1
"20674",0,0,1
"20733",0,0,1
"20967",0,0,1
"20975",0,0,1
"21316",0,0,1
"22014",0,0,1
"22059",0,0,1
"22334",0,0,1
"22473",0,0,1
"22497",0,0,1
"22549",0,0,1
"22553",0,0,1
"22636",0,0,1
"22662",0,0,1
"22832",0,0,1
"22866",0,0,1
"22872",0,0,1
"15010",0,0,2
"17255",0,0,2
"20851",0,0,2
"20924",0,0,2
"21062",0,0,2
"21381",0,0,2
"21872",0,0,2
"21895",0,0,2
"22168",0,0,2
"22322",0,0,2
"22339",0,0,2
"22391",0,0,2
"22868",0,0,2
"23035",0,0,2
